# Wed 18 May 2022 10:25:34 AM EEST
Genbank;Id;RsUid;GbUid;AssemblyAccession;LastMajorReleaseAccession;ChainId;AssemblyName;Taxid;Organism;SpeciesTaxid;SpeciesNAme;AssemblyType;AssemblyStatus;Isolate;Sub_type;Sub_value;Coverage;ContigN50;ScaffoldN50;Title;Host;Strain;Isolation_source;Collection_date;Geo_loc_name
GCA_021554495.1;11798201;31074548;31065648;GCF_021554495.1;GCF_021554495.1;21554495;ASM2155449v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-27;360;531280;531280;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-27;;2017-09-03;China:Hefei
GCA_021554505.1;11798191;31074648;31065638;GCF_021554505.1;GCF_021554505.1;21554505;ASM2155450v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-25;431;159700;159700;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-25;;2017-10-09;China:Hefei
GCA_021554475.1;11798181;31074888;31065608;GCF_021554475.1;GCF_021554475.1;21554475;ASM2155447v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-24;252;495327;495327;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-24;;2017-10-24;China:Hefei
GCA_021554455.1;11798171;31074788;31065588;GCF_021554455.1;GCF_021554455.1;21554455;ASM2155445v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-26;228;930586;930586;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-26;;2017-10-25;China:Hefei
GCA_021554415.1;11798161;31074408;31065548;GCF_021554415.1;GCF_021554415.1;21554415;ASM2155441v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-20;404;1324148;1324148;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-20;;2017-08-22;China:Hefei
GCA_021554435.1;11798151;31074728;31065568;GCF_021554435.1;GCF_021554435.1;21554435;ASM2155443v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-23;220;439164;439164;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-23;;2017-09-04;China:Hefei
GCA_021554385.1;11798141;31074168;31065528;GCF_021554385.1;GCF_021554385.1;21554385;ASM2155438v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-19;221;1324148;1324148;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-19;;2017-08-08;China:Hefei
GCA_021554375.1;11798131;31074608;31065518;GCF_021554375.1;GCF_021554375.1;21554375;ASM2155437v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-18;198;173455;173455;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-18;;2017-10-11;China:Hefei
GCA_021554335.1;11798121;31074588;31065468;GCF_021554335.1;GCF_021554335.1;21554335;ASM2155433v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-17;212;173455;173455;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-17;;2017-08-29;China:Hefei
GCA_021554355.1;11798111;31074708;31065488;GCF_021554355.1;GCF_021554355.1;21554355;ASM2155435v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-11;215;236995;236995;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-11;;2017-07-23;China:Hefei
GCA_021554295.1;11798101;31074128;31065428;GCF_021554295.1;GCF_021554295.1;21554295;ASM2155429v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-15;280;450285;450285;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-15;;2017-08-11;China:Hefei
GCA_021554315.1;11798091;31074488;31065448;GCF_021554315.1;GCF_021554315.1;21554315;ASM2155431v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-16;267;897540;897540;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-16;;2017-08-27;China:Hefei
GCA_021554275.1;11798081;31074828;31065408;GCF_021554275.1;GCF_021554275.1;21554275;ASM2155427v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-12;209;338710;338710;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-12;;2017-08-02;China:Hefei
GCA_021554255.1;11798071;31074688;31065388;GCF_021554255.1;GCF_021554255.1;21554255;ASM2155425v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-8;398;538697;538697;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-8;;2017-11-08;China:Hefei
GCA_021554235.1;11798061;31074628;31065368;GCF_021554235.1;GCF_021554235.1;21554235;ASM2155423v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-9;283;586585;586585;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-9;;2017-09-04;China:Hefei
GCA_021554195.1;11798051;31074188;31065328;GCF_021554195.1;GCF_021554195.1;21554195;ASM2155419v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-6;193;441025;441025;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-6;;2017-09-28;China:Hefei
GCA_021554175.1;11798041;31074868;31065308;GCF_021554175.1;GCF_021554175.1;21554175;ASM2155417v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-7;259;948105;948105;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-7;;2017-10-27;China:Hefei
GCA_021554135.1;11798031;31074768;31065288;GCF_021554135.1;GCF_021554135.1;21554135;ASM2155413v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-4;203;273885;273885;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-4;;2017-06-19;China:Hefei
GCA_021554125.1;11798021;31074108;31065278;GCF_021554125.1;GCF_021554125.1;21554125;ASM2155412v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-3;205;270687;270687;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-3;;2017-06-05;China:Hefei
GCA_021554115.1;11798011;31074668;31065268;GCF_021554115.1;GCF_021554115.1;21554115;ASM2155411v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-1;200;381607;381607;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-1;missing;2017-03-31;China:Hefei
GCA_021554095.1;11798001;31074368;31065228;GCF_021554095.1;GCF_021554095.1;21554095;ASM2155409v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-2;202;381607;381607;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-2;sputum;2017-04-12;China:Hefei
GCA_021554075.1;11797991;31074808;31065208;GCF_021554075.1;GCF_021554075.1;21554075;ASM2155407v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-5;203;662016;662016;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-5;;2017-09-02;China:Hefei
GCA_021441865.1;11744351;30955638;30920918;GCF_021441865.1;GCF_021441865.1;21441865;ASM2144186v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;WGB211;344;4913676;4913676;Microbe sample from Stenotrophomonas maltophilia;;WGB211;shale;2021-10-09;China: Erdos Basin
GCA_021378335.1;11712381;30842858;30829508;GCF_021378335.1;GCF_021378335.1;21378335;ASM2137833v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;ZT1;700;4391471;4391471;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;ZT1;bile acid of cholelithiasis patient;2019-12-04;China
GCA_021139765.1;11591301;30557878;30527488;GCF_021139765.1;GCF_021139765.1;21139765;ASM2113976v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Scaffold;null;strain;KJ;40;167801;182983;Pathogen: clinical or host-associated sample from Stenotrophomonas maltophilia;Homo sapiens;KJ;sputum;2003;Taiwan: Taichung
GCA_021117255.1;11580221;30515198;30495468;GCF_021117255.1;GCF_021117255.1;21117255;ASM2111725v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;2013-SM4;1;4575852;4575852;Pathogen: environmental/food/other sample from Stenotrophomonas maltophilia;;2013-SM4;drinking water;2013-05-30;China:Tianjin
GCA_021117235.1;11580211;30515258;30495448;GCF_021117235.1;GCF_021117235.1;21117235;ASM2111723v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;2013-SM12;1;4612229;4612229;Pathogen: environmental/food/other sample from Stenotrophomonas maltophilia;;2013-SM12;drinking water;2013-05-30;China:Tianjin
GCA_021117215.1;11580201;30516498;30495428;GCF_021117215.1;GCF_021117215.1;21117215;ASM2111721v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;2013-SM13;1;4613698;4613698;Pathogen: environmental/food/other sample from Stenotrophomonas maltophilia;;2013-SM13;drinking water;2013-05-30;China:Tianjin
GCA_021117195.1;11580191;30514958;30495408;GCF_021117195.1;GCF_021117195.1;21117195;ASM2111719v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;2013-SM15;1;4702572;4702572;Pathogen: environmental/food/other sample from Stenotrophomonas maltophilia;;2013-SM15;drinking water;2013-05-30;China:Tianjin
GCA_021117175.1;11580181;30514578;30495388;GCF_021117175.1;GCF_021117175.1;21117175;ASM2111717v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;2013-SM24;1;4533092;4533092;Pathogen: environmental/food/other sample from Stenotrophomonas maltophilia;;2013-SM24;drinking water;2013-05-30;China:Tianjin
GCA_918593995.1;11399491;30054598;30001608;GCF_918593995.1;GCF_918593995.1;918593995;ASM91859399v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;Stenotrophomonas maltophilia 1800;null;null;136;4837108;4837108;Stenotrophomonas maltophilia 1800 complete genome;;;;;GCA_020641455.1;11327001;29950158;29833508;GCF_020641455.1;GCF_020641455.1;20641455;ASM2064145v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCa.2H;62;126128;126128;Allison_2H;;ACYCa.2H;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641415.1;11326991;29950038;29833488;GCF_020641415.1;GCF_020641415.1;20641415;ASM2064141v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCb.1K;41;152546;152546;Allison_1K;;ACYCb.1K;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641425.1;11326981;29949858;29833478;GCF_020641425.1;GCF_020641425.1;20641425;ASM2064142v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCb.6H;57;186150;186150;Allison_6H;;ACYCb.6H;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641395.1;11326971;29949518;29833448;GCF_020641395.1;GCF_020641395.1;20641395;ASM2064139v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCa.6E;38;96532;96532;Allison_6E;;ACYCa.6E;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641365.1;11326961;29949958;29833438;GCF_020641365.1;GCF_020641365.1;20641365;ASM2064136v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCb.10K;71;223385;223385;Allison_10K;;ACYCb.10K;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641355.1;11326951;29949818;29833428;GCF_020641355.1;GCF_020641355.1;20641355;ASM2064135v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCe.8N;51;122820;122820;Allison_8N;;ACYCe.8N;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641095.1;11326941;29950338;29833168;GCF_020641095.1;GCF_020641095.1;20641095;ASM2064109v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCc.3B;30;102700;102700;Allison_3B;;ACYCc.3B;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641085.1;11326931;29949758;29833158;GCF_020641085.1;GCF_020641085.1;20641085;ASM2064108v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCd.9D;47;205490;205490;Allison_9D;;ACYCd.9D;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020641075.1;11326921;29949678;29833148;GCF_020641075.1;GCF_020641075.1;20641075;ASM2064107v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ACYCa.1J;44;112705;112705;Allison_1J;;ACYCa.1J;freshwater stream;2020-09;Hong Kong: Pokfulam
GCA_020551925.1;11279261;29831008;29730318;GCF_020551925.1;GCF_020551925.1;20551925;ASM2055192v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;1;30;158497;158497;Microbe sample from Stenotrophomonas maltophilia;Solanum lycopersicum;TR1;roots;2017-02;Tunisia: Tbag
GCA_020166085.1;11007541;29122088;29077028;GCF_020166085.1;GCF_020166085.1;20166085;ASM2016608v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NAA11;2;54168;54168;Microbe sample from Stenotrophomonas maltophilia;;NAA11;maize soil rhizosphere;2009-11-29;Benin: Southern Agroecological zone
GCA_020132085.1;10988661;29103528;29030658;GCF_020132085.1;GCF_020132085.1;20132085;ASM2013208v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;JZL8;240;4635432;4635432;Microbe sample from Stenotrophomonas maltophilia;clivia;JZL8;;2017;China: Guangzhou
GCA_020099655.1;10974751;null;28994698;GCA_020099655.1;GCA_020099655.1;20099655;PDT001135716.1;195;Campylobacter coli (e-proteobacteria);195;null;haploid;Contig;null;strain;FSIS12142803;99;40324;40324;Pathogen: environmental/food/other sample from Campylobacter coli;;FSIS12142803;raw intact chicken;2021;USA:KY
GCA_020080085.1;10954851;29089868;28959088;GCF_020080085.1;GCF_020080085.1;20080085;ASM2008008v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;XL133;100;4630138;4630138;Microbe sample from Stenotrophomonas maltophilia XL133;;XL133;cucumber rhizosphere;2018-07-01;China:Nanjing
GCA_019969825.1;10896561;null;28838128;GCA_019969825.1;GCA_019969825.1;19969825;ASM1996982v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;ESA45A;49;998073;998073;Microbe sample from Stenotrophomonas maltophilia;;ESA45A;soil1;missing;GCA_019891375.1;10848621;28773568;28739288;GCF_019891375.1;GCF_019891375.1;19891375;ASM1989137v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;6960;12;110818;110818;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;6960;;2016;Serbia: Belgrade
GCA_019807975.1;10803921;28673558;28633258;GCF_019807975.1;GCF_019807975.1;19807975;ASM1980797v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;UENF-4GII;626;1378831;1378831;Microbe sample from Stenotrophomonas maltophilia;;UENF-4GII;vermicompost of cattle manure;2012-03;Brazil:Campos dos goytacazes
GCA_019203765.1;10489421;null;27841058;GCA_019203765.1;GCA_019203765.1;19203765;ASM1920376v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;O1;187;4516998;4516998;Microbe sample from Stenotrophomonas maltophilia;Bos taurus;O1;feces;2020-08-30;South Korea: Seoul
GCA_019048905.1;10392281;27604378;27595628;GCF_019048905.1;GCF_019048905.1;19048905;ASM1904890v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;Col1;145.01;4458565;4458565;MIGS Cultured Bacterial/Archaeal sample from Stenotrophomonas maltophilia;;Col1;pavement soil;2018;South Korea
GCA_018917605.1;10324711;27492568;27426428;GCF_018917605.1;GCF_018917605.1;18917605;ASM1891760v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;N82;99;164295;164295;Microbe sample from Stenotrophomonas maltophilia;Macaca fascicularis;N82;feces;2019-08;China: Suzhou
